Designator,Mid X,Mid Y,Rotation,Layer
C1,123.5,-98.0,270.0,top
C10,62.25,-133.5,180.0,top
C13,79.0,-112.0,180.0,top
C2,79.0,-148.0,0.0,top
C3,69.572767,-121.336101,180.0,top
C4,86.1,-136.82,180.0,top
C5,87.0,-122.0,270.0,top
C6,85.1,-148.32,180.0,top
C7,122.5,-119.5,270.0,top
C8,122.5,-114.5,270.0,top
C9,69.25,-100.75,0.0,top
D1,122.0,-106.5,270.0,top
D2,104.5,-93.0,0.0,top
D3,108.75,-93.0,0.0,top
D5,68.25,-128.75,90.0,top
D6,78.75,-128.0,270.0,top
J1,61.0,-122.5,270.0,top
J2,100.5,-122.53,0.0,top
J3,118.28,-122.53,0.0,top
J4,59.25,-97.85,180.0,top
J5,79.449467,-96.052341,270.0,top
L1,87.0,-130.0,90.0,top
L2,66.8,-144.5,0.0,top
Q3,66.0,-104.25,180.0,top
Q4,72.37,-133.4,180.0,top
R1,104.5,-91.5,0.0,top
R10,72.25,-126.5,180.0,top
R11,72.25,-128.0,0.0,top
R12,108.75,-91.5,0.0,top
R13,65.0,-91.5,0.0,top
R14,65.75,-100.75,0.0,top
R17,65.5,-111.0,270.0,top
R18,73.5,-109.5,0.0,top
R2,89.6375,-149.95,0.0,top
R22,69.572767,-122.836101,0.0,top
R3,89.6375,-151.45,180.0,top
R4,77.25,-128.0,270.0,top
R5,72.249467,-93.5,180.0,top
R7,80.75,-138.25,270.0,top
R8,80.75,-134.75,90.0,top
R9,70.0,-109.5,0.0,top
SW1,134.0,-128.5,0.0,top
SW2,141.25,-136.0,0.0,top
SW3,134.0,-143.0,0.0,top
SW4,126.75,-136.0,0.0,top
U1,75.0,-101.5,0.0,top
U4,85.0,-142.5,180.0,top
U5,72.5,-114.0,180.0,top
U6,76.5,-121.5,90.0,top
